real_time,grWindSpeed,grWindDirction,grOutdoorTemperature,grAirPressure,grAirDensity,grGridActivePower,giWindTurbineOperationMode,gbTurbinePowerLimited,giWindTurbineYawMode
2021-10-01 00:00:00,2.4,42.3,26.3,0.0,1.2,-9.0,8,0,1
2021-10-01 00:15:00,0.9,15.7,26.7,0.0,1.2,-8.0,8,0,1
2021-10-01 00:30:00,0.8,2.9,26.6,0.0,1.2,-9.0,8,0,1
2021-10-01 00:45:00,1.1,-28.6,26.5,0.0,1.2,-9.0,8,0,1
2021-10-01 01:00:00,1.7,-31.1,26.4,0.0,1.2,-8.0,8,0,1
2021-10-01 01:15:00,1.7,-33.5,26.4,0.0,1.2,-9.0,8,0,1
2021-10-01 01:30:00,1.8,-40.7,26.3,0.0,1.2,-9.0,8,0,1
2021-10-01 01:45:00,1.4,-19.8,26.3,0.0,1.2,-9.0,8,0,1
2021-10-01 02:00:00,0.9,-23.4,26.1,0.0,1.2,-9.0,8,0,1
2021-10-01 02:15:00,1.3,-26.8,26.1,0.0,1.2,-9.0,8,0,1
2021-10-01 02:30:00,0.4,13.1,26.0,0.0,1.2,-9.0,8,0,1
2021-10-01 02:45:00,0.1,-180.0,25.9,0.0,1.2,-9.0,8,0,1
2021-10-01 03:00:00,0.3,-136.6,25.5,0.0,1.2,-9.0,8,0,1
2021-10-01 03:15:00,0.3,-48.3,25.6,0.0,1.2,-9.0,8,0,1
2021-10-01 03:30:00,0.3,138.9,25.5,0.0,1.2,-10.0,8,0,1
2021-10-01 03:45:00,0.6,-115.0,25.4,0.0,1.2,-9.0,8,0,1
2021-10-01 04:00:00,0.4,-90.9,25.4,0.0,1.2,-10.0,8,0,1
2021-10-01 04:15:00,0.8,-68.7,25.5,0.0,1.2,-9.0,8,0,1
2021-10-01 04:30:00,1.4,-37.9,25.6,0.0,1.2,-8.0,8,0,1
2021-10-01 04:45:00,2.0,-55.5,25.7,0.0,1.2,-9.0,8,0,1
2021-10-01 05:00:00,1.8,-73.5,25.6,0.0,1.2,-9.0,8,0,1
2021-10-01 05:15:00,2.3,-48.9,25.9,0.0,1.2,-9.0,11,0,0
2021-10-01 05:30:00,0.7,-47.3,25.8,0.0,1.2,-8.0,8,0,1
2021-10-01 05:45:00,1.5,-15.7,25.6,0.0,1.2,-9.0,8,0,1
2021-10-01 06:00:00,1.8,-11.2,25.5,0.0,1.2,-9.0,8,0,1
2021-10-01 06:15:00,1.7,13.2,25.4,0.0,1.2,-9.0,8,0,1
2021-10-01 06:30:02,2.7,-1.3,25.5,0.0,1.2,41.0,14,0,0
2021-10-01 06:45:00,1.9,-13.3,25.6,0.0,1.2,29.0,14,0,0
2021-10-01 07:00:00,2.1,-9.7,25.8,0.0,1.2,16.0,14,0,0
2021-10-01 07:15:00,2.0,4.7,26.2,0.0,1.2,-9.0,8,0,1
2021-10-01 07:30:00,2.0,11.8,26.3,0.0,1.2,-9.0,8,0,1
2021-10-01 07:45:00,1.6,16.1,26.8,0.0,1.2,-8.0,8,0,1
2021-10-01 08:00:00,1.7,9.6,26.9,0.0,1.2,-9.0,8,0,1
2021-10-01 08:15:00,1.8,6.5,28.4,0.0,1.2,-9.0,8,0,1
2021-10-01 08:30:00,0.5,-42.6,30.4,0.0,1.1,-9.0,8,0,1
2021-10-01 08:45:00,0.2,-42.8,30.2,0.0,1.2,-9.0,8,0,1
2021-10-01 09:00:00,2.0,37.7,28.5,0.0,1.2,-9.0,8,0,1
2021-10-01 09:15:00,2.2,13.3,28.8,0.0,1.2,-9.0,8,0,1
2021-10-01 09:30:00,0.7,123.8,30.8,0.0,1.1,-9.0,8,0,1
2021-10-01 09:45:00,1.7,28.1,29.3,0.0,1.2,-9.0,8,0,1
2021-10-01 10:00:00,0.9,24.8,30.5,0.0,1.1,-9.0,8,0,1
2021-10-01 10:15:00,0.8,120.3,33.5,0.0,1.1,-9.0,8,0,1
2021-10-01 10:30:00,1.9,39.6,29.5,0.0,1.2,-9.0,8,0,1
2021-10-01 10:45:00,1.6,112.6,31.9,0.0,1.1,-9.0,8,0,1
2021-10-01 11:00:00,1.1,-47.1,36.0,0.0,1.1,-9.0,8,0,1
2021-10-01 11:15:00,1.7,-74.1,35.9,0.0,1.1,-9.0,8,0,1
2021-10-01 11:30:00,1.6,107.4,32.8,0.0,1.1,-8.0,8,0,1
2021-10-01 11:45:00,0.4,-77.2,32.8,0.0,1.1,-9.0,8,0,1
2021-10-01 12:00:09,1.8,-102.5,34.5,0.0,1.1,-9.0,8,0,1
2021-10-01 12:15:00,1.3,132.2,33.4,0.0,1.1,-10.0,8,0,1
2021-10-01 12:30:00,2.3,133.7,32.6,0.0,1.1,-9.0,8,0,1
2021-10-01 12:45:00,1.4,28.7,31.5,0.0,1.1,-9.0,8,0,1
2021-10-01 13:00:00,0.6,35.5,33.6,0.0,1.1,-9.0,8,0,1
2021-10-01 13:15:00,1.0,59.7,31.4,0.0,1.1,-9.0,8,0,1
2021-10-01 13:30:00,1.6,7.6,30.8,0.0,1.1,-9.0,12,0,0
2021-10-01 13:45:00,2.1,10.0,31.6,0.0,1.1,22.0,14,0,0
2021-10-01 14:00:00,3.2,5.7,32.1,0.0,1.1,84.0,14,0,0
2021-10-01 14:15:00,1.9,-22.3,33.4,0.0,1.1,22.0,14,0,0
2021-10-01 14:30:00,1.5,-65.4,33.3,0.0,1.1,-9.0,8,0,1
2021-10-01 14:45:00,3.6,17.3,31.9,0.0,1.1,-9.0,12,0,0
2021-10-01 15:00:00,2.4,-24.2,31.8,0.0,1.1,32.0,14,0,0
2021-10-01 15:15:00,4.7,8.1,29.8,0.0,1.2,468.0,14,0,0
2021-10-01 15:30:00,3.8,-9.5,29.2,0.0,1.2,248.0,14,0,0
2021-10-01 15:45:00,3.4,-0.4,28.6,0.0,1.2,154.0,14,0,0
2021-10-01 16:00:00,4.2,-4.7,28.4,0.0,1.2,161.0,14,0,0
2021-10-01 16:15:00,4.4,15.3,28.2,0.0,1.2,259.0,14,0,0
2021-10-01 16:30:00,4.1,5.8,28.3,0.0,1.2,190.0,14,0,0
2021-10-01 16:45:00,4.6,1.9,28.2,0.0,1.2,198.0,14,0,0
2021-10-01 17:00:00,4.9,-2.8,26.8,0.0,1.2,273.0,14,0,0
2021-10-01 17:15:00,2.6,-6.3,26.8,0.0,1.2,56.0,14,0,0
2021-10-01 17:30:00,3.0,0.7,27.7,0.0,1.2,31.0,14,0,0
2021-10-01 17:45:00,3.1,3.8,27.8,0.0,1.2,50.0,14,0,0
2021-10-01 18:00:00,2.3,-2.2,27.5,0.0,1.2,17.0,14,0,0
2021-10-01 18:15:00,2.8,7.8,27.6,0.0,1.2,31.0,14,0,0
2021-10-01 18:30:00,2.5,4.1,27.0,0.0,1.2,28.0,14,0,0
2021-10-01 18:45:00,2.9,8.1,26.7,0.0,1.2,65.0,14,0,0
2021-10-01 19:00:00,2.5,-0.5,26.7,0.0,1.2,25.0,14,0,0
2021-10-01 19:15:00,2.1,2.3,26.4,0.0,1.2,15.0,14,0,0
2021-10-01 19:30:00,2.3,1.6,26.4,0.0,1.2,34.0,14,0,0
2021-10-01 19:45:00,1.7,-4.3,26.2,0.0,1.2,-2.0,14,0,0
2021-10-01 20:00:00,1.6,-151.4,26.0,0.0,1.2,-9.0,8,0,2
2021-10-01 20:15:00,1.8,43.3,26.1,0.0,1.2,-8.0,8,0,2
2021-10-01 20:30:00,1.5,62.0,25.8,0.0,1.2,-9.0,8,0,1
2021-10-01 20:45:00,1.4,66.5,25.8,0.0,1.2,-9.0,8,0,1
2021-10-01 21:00:00,1.8,42.1,25.8,0.0,1.2,-8.0,11,0,0
2021-10-01 21:15:06,2.7,12.9,26.5,0.0,1.2,37.0,14,0,0
2021-10-01 21:30:00,2.6,-11.6,26.6,0.0,1.2,55.0,14,0,0
2021-10-01 21:45:00,3.6,-0.5,26.5,0.0,1.2,103.0,14,0,0
2021-10-01 22:00:00,3.1,-1.1,26.3,0.0,1.2,110.0,14,0,0
2021-10-01 22:15:00,4.1,17.4,26.2,0.0,1.2,181.0,14,0,0
2021-10-01 22:30:00,5.0,11.8,26.2,0.0,1.2,225.0,14,0,0
2021-10-01 22:45:00,3.0,-5.4,26.0,0.0,1.2,200.0,14,0,0
2021-10-01 23:00:00,4.9,-3.2,26.0,0.0,1.2,225.0,14,0,0
2021-10-01 23:15:00,5.2,26.1,25.9,0.0,1.2,263.0,14,0,0
2021-10-01 23:30:00,3.7,8.7,25.9,0.0,1.2,213.0,14,0,0
2021-10-01 23:45:00,4.3,0.1,25.9,0.0,1.2,262.0,14,0,0
2021-10-02 00:00:00,5.6,4.8,25.8,0.0,1.2,519.0,14,0,0
2021-10-02 00:15:00,4.7,13.7,25.7,0.0,1.2,437.0,14,0,0
2021-10-02 00:30:00,6.8,-2.6,25.6,0.0,1.2,732.0,14,0,0
2021-10-02 00:45:00,5.8,20.7,25.5,0.0,1.2,655.0,14,0,0
2021-10-02 01:00:00,6.6,12.7,25.3,0.0,1.2,781.0,14,0,0
2021-10-02 01:15:00,6.6,-2.8,25.4,0.0,1.2,1049.0,14,0,0
2021-10-02 01:30:00,5.3,5.9,25.2,0.0,1.2,786.0,14,0,0
2021-10-02 01:45:05,5.7,-0.9,25.4,0.0,1.2,596.0,14,0,0
2021-10-02 02:00:00,5.5,2.6,25.2,0.0,1.2,529.0,14,0,0
2021-10-02 02:15:00,5.1,10.6,25.2,0.0,1.2,291.0,14,0,0
2021-10-02 02:30:00,4.3,-3.6,25.2,0.0,1.2,278.0,14,0,0
2021-10-02 02:45:03,4.0,6.4,25.1,0.0,1.2,216.0,14,0,0
2021-10-02 03:00:00,3.4,9.5,25.1,0.0,1.2,142.0,14,0,0
2021-10-02 03:15:00,3.5,-1.6,25.0,0.0,1.2,106.0,14,0,0
2021-10-02 03:30:00,3.2,-2.9,25.0,0.0,1.2,88.0,14,0,0
2021-10-02 03:45:00,2.0,11.0,24.8,0.0,1.2,34.0,14,0,0
