real_time,grWindSpeed,grWindDirction,grOutdoorTemperature,grAirPressure,grAirDensity,grGridActivePower
2021-12-01 00:00:00,4.4,-12.9,16.6,0.0,1.2,506.0
2021-12-01 00:05:00,5.9,27.7,16.5,0.0,1.2,738.0
2021-12-01 00:10:00,5.1,-4.7,16.4,0.0,1.2,530.0
2021-12-01 00:15:00,3.2,2.8,16.4,0.0,1.2,258.0
2021-12-01 00:20:00,5.2,9.6,16.3,0.0,1.2,685.0
2021-12-01 00:25:00,3.8,-5.2,16.3,0.0,1.2,401.0
2021-12-01 00:30:00,4.9,-12.9,16.2,0.0,1.2,365.0
2021-12-01 00:35:00,4.2,-13.3,16.0,0.0,1.2,338.0
2021-12-01 00:40:00,6.0,-6.5,16.0,0.0,1.2,546.0
2021-12-01 00:45:00,5.6,11.4,16.0,0.0,1.2,558.0
2021-12-01 00:50:00,6.0,-0.3,15.9,0.0,1.2,807.0
2021-12-01 00:55:00,5.7,-2.0,15.9,0.0,1.2,698.0
2021-12-01 01:00:00,5.6,13.7,15.8,0.0,1.2,901.0
2021-12-01 01:05:00,4.3,3.6,15.8,0.0,1.2,731.0
2021-12-01 01:10:00,5.5,1.0,15.8,0.0,1.2,686.0
2021-12-01 01:15:00,6.2,-6.6,15.7,0.0,1.2,1205.0
2021-12-01 01:20:00,6.1,-0.4,15.7,0.0,1.2,977.0
2021-12-01 01:25:00,5.8,-7.4,15.6,0.0,1.2,1171.0
2021-12-01 01:30:00,6.3,3.1,15.6,0.0,1.2,1482.0
2021-12-01 01:35:01,5.7,-11.6,15.6,0.0,1.2,1056.0
2021-12-01 01:40:00,7.6,2.7,15.6,0.0,1.2,1844.0
2021-12-01 01:45:00,6.4,0.6,15.5,0.0,1.2,1349.0
2021-12-01 01:50:00,7.5,7.9,15.6,0.0,1.2,1951.0
2021-12-01 01:55:00,6.5,9.8,15.3,0.0,1.2,1120.0
2021-12-01 02:00:00,6.7,12.2,15.3,0.0,1.2,1207.0
2021-12-01 02:05:00,6.7,1.1,15.3,0.0,1.2,1456.0
2021-12-01 02:10:00,7.3,9.2,15.3,0.0,1.2,1928.0
2021-12-01 02:15:00,6.9,-13.3,15.2,0.0,1.2,1665.0
2021-12-01 02:20:00,5.8,-2.2,15.1,0.0,1.2,1587.0
2021-12-01 02:25:00,7.0,-3.7,15.1,0.0,1.2,1495.0
2021-12-01 02:30:00,5.2,-2.2,15.1,0.0,1.2,1389.0
2021-12-01 02:35:00,5.4,-4.7,15.1,0.0,1.2,1429.0
2021-12-01 02:40:00,4.7,-7.3,14.9,0.0,1.2,747.0
2021-12-01 02:45:00,6.7,0.6,15.0,0.0,1.2,1322.0
2021-12-01 02:50:00,6.8,-10.1,14.9,0.0,1.2,1511.0
2021-12-01 02:55:00,7.2,-7.3,14.9,0.0,1.2,1787.0
2021-12-01 03:00:00,7.9,11.4,14.8,0.0,1.2,1677.0
2021-12-01 03:05:00,4.2,-6.7,14.8,0.0,1.2,1230.0
